Headquarters value (jurisdiction),core+country value,ILO Region
Abu Dhabi (United Arab Emirates),United Arab Emirates,Arab States
Afghanistan,Afghanistan,Asia and the Pacific
Ajman (United Arab Emirates),United Arab Emirates,Arab States
Alabama (United States),United States,Americas
Åland Islands,Finland,Europe and Central Asia
Alaska (United States),United States,Americas
Albania,Albania,Europe and Central Asia
Alberta (Canada),Canada,Americas
Algeria,Algeria,Africa
American Samoa,United States,Americas
Andorra,Andorra,Europe and Central Asia
Angola,Angola,Africa
Anguilla,Anguilla (United Kingdom),Americas
Anhui (China),China,Asia and the Pacific
Antarctica,Antarctica,Unknown
Antigua and Barbuda,Antigua and Barbuda,Americas
Argentina,Argentina,Americas
Arizona (United States),United States,Americas
Arkansas (United States),United States,Americas
Armenia,Armenia,Europe and Central Asia
Aruba,Aruba (Netherlands),Americas
Australia,Australia,Asia and the Pacific
Austria,Austria,Europe and Central Asia
Azerbaijan,Azerbaijan,Europe and Central Asia
Bahamas,Bahamas,Americas
Bahrain,Bahrain,Arab States
Bangladesh,Bangladesh,Asia and the Pacific
Barbados,Barbados,Americas
Beijing (China),China,Asia and the Pacific
Belarus,Belarus,Europe and Central Asia
Belgium,Belgium,Europe and Central Asia
Belize,Belize,Americas
Benin,Benin,Africa
Bermuda,Bermuda (United Kingdom),Americas
Bhutan,Bhutan,Asia and the Pacific
Bolivia,Bolivia,Asia and the Pacific
"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba (Netherlands)",Americas
Bosnia and Herzegovina,Bosnia and Herzegovina,Europe and Central Asia
Botswana,Botswana,Africa
Bouvet Island,Norway,Europe and Central Asia
Brazil,Brazil,Americas
British Columbia (Canada),Canada,Americas
British Indian Ocean Territory,British Indian Ocean Territory  (United Kingdom),Unknown
British Virgin Islands,British Virgin Islands (United Kingdom),Americas
Brunei Darussalam,Brunei Darussalam,Asia and the Pacific
Bulgaria,Bulgaria,Europe and Central Asia
Burkina Faso,Burkina Faso,Africa
Burundi,Burundi,Africa
California (United States),United States,Americas
Cambodia,Cambodia,Asia and the Pacific
Cameroon,Cameroon,Africa
Canada,Canada,Americas
Cape Verde,Cape Verde,Africa
Cayman Islands,Cayman Islands  (United Kingdom),Americas
Central African Republic,Central African Republic,Africa
Chad,Chad,Africa
Chile,Chile,Americas
China,China,Asia and the Pacific
Chongqing (China),China,Asia and the Pacific
Christmas Island,Christmas Island (Australia),Unknown
Cocos (Keeling) Islands,Cocos (Keeling) Islands (Australia),Unknown
Colombia,Colombia,Americas
Colorado (United States),United States,Americas
Comoros,Comoros,Africa
Congo,Congo,Africa
Connecticut (United States),United States,Americas
Cook Islands,Cook Islands,Asia and the Pacific
Costa Rica,Costa Rica,Americas
Côte d'Ivoire,Côte d'Ivoire,Africa
Croatia,Croatia,Europe and Central Asia
Cuba,Cuba,Americas
Curaçao,Curaçao (Netherlands),Americas
Cyprus,Cyprus,Europe and Central Asia
Czech Republic,Czech Republic,Europe and Central Asia
Delaware (United States),United States,Americas
Democratic Republic of the Congo,Democratic Republic of the Congo,Africa
Denmark,Denmark,Europe and Central Asia
District of Columbia (United States),United States,Americas
Djibouti,Djibouti,Africa
Dominica,Dominica,Americas
